"","Acute-Infected_blood_CD4+ CTL","Acute-Infected_blood_CD4+ Naive","Acute-Infected_blood_CD4+ EM","Acute-Infected_blood_CD4+ Treg","Acute-Infected_blood_CD4+ Proliferating","Acute-Infected_brain_CD8+ Effector","Acute-Infected_brain_CD4+ CTL"
"NR2C2 (120g)",0.199218211776765,0.418676751244803,0.159627866420374,0.0673365929157514,0.0729749840602636,0.0858061702225484,0.0881977706482289
"SIN3A (236g)",0.188268806101567,0.424913450392492,0.156023439108074,0.0675285840109331,0.0867046325748575,0.086088326427033,0.0874473772052592
"ELF2 (194g)",0.188812106012153,0.430563207814341,0.163243961842951,0.0673469376149755,0.078468987933514,0.0824568975655877,0.0831523373854276
"MLXIP (14g)",0.129476323137071,0.425541203101533,0.142586240955903,0.0608799553821976,0.0366026021864837,0.0594647513768897,0.0633995548105398
"GABPA (36g)",0.189496309495294,0.410966541469862,0.161301492830869,0.0661514460811667,0.0538801418443601,0.0784878126298646,0.0887119898506927
"ATF2 (29g)",0.190754604121378,0.392837202835307,0.154535797873313,0.0652561003659244,0.0580087792399295,0.0862182033792456,0.092518347724856
"SP1 (24g)",0.175977174233262,0.385325680935602,0.150972578212917,0.0630814854774977,0.0789236262286028,0.0903109536508232,0.0859214974855728
"E2F4 (19g)",0.164331380551276,0.325640566071173,0.124099834494736,0.0606630522121687,0.0993339477750715,0.0855742602016475,0.090066398713335
"PBX3 (269g)",0.194167384182303,0.40552376373087,0.154363498512568,0.065810303492121,0.112388627428956,0.0867818507671577,0.0891145365561747
"SMAD5 (39g)",0.189858069117322,0.392992598422252,0.152108019485898,0.0635231464718728,0.0898628134674642,0.090485428506024,0.0935970451401966
"RFX1 (14g)",0.188707155235901,0.30656208121511,0.16193355561954,0.0563744987204333,0.108177062608645,0.0740094388990223,0.0909624526130167
"RXRA (11g)",0.171268826091326,0.121839535759646,0.0562801953644031,0.0254361253830596,0.0885911719336525,0.144198490691116,0.108829497534483
"ELF4 (64g)",0.207095817650021,0.382363956212091,0.15374632587228,0.0663048016905255,0.0724299624320071,0.10596073686721,0.102981469874874
"ELK3 (77g)",0.208788103337308,0.389885000723313,0.151113533443038,0.0648383821960652,0.0668823293920419,0.120960381944495,0.0971616339794519
"IRF2 (103g)",0.204257260147043,0.390707428621273,0.151418203711046,0.0709518419951513,0.0673959078956717,0.12468035385165,0.0986754183200629
"IRF1 (27g)",0.221162148422164,0.338159489503958,0.125047905233068,0.059835928230465,0.0670791132663612,0.114069305358243,0.118095466736125
"STAT1 (282g)",0.191551730562565,0.4275024767581,0.166966027562733,0.0707479134528377,0.0607159725879269,0.0889453607917995,0.0886094497153812
"IRF9 (42g)",0.201766510840175,0.41957912564734,0.151408077340566,0.0658135176457086,0.0690907534388823,0.0910491834387275,0.0897070882643491
