"","Uninfected_blood_CD4+ Treg","Uninfected_blood_CD4+ Naive","Uninfected_blood_CD4+ EM","Uninfected_blood_CD4+ CTL","Uninfected_blood_CD4+ Proliferating","Acute-Infected_blood_CD4+ CTL","Acute-Infected_blood_CD4+ Naive","Acute-Infected_blood_CD4+ EM","Acute-Infected_blood_CD4+ Treg","Acute-Infected_blood_CD4+ Proliferating","Uninfected_brain_CD4+ CTL","Uninfected_brain_CD8+ Effector","Acute-Infected_brain_CD8+ Effector","Acute-Infected_brain_CD4+ CTL"
"CREM (91g)",0.0274375801193115,0.129999683891114,0.109901812257177,0.0375106242703781,0.0012865653775046,0.144379204824081,0.253236923153587,0.106070680858692,0.0421497672423816,0.0459927437319719,0.140370359647702,0.1050797388532,0.0711173857062986,0.075024251998219
"REL (173g)",0.0286052347607628,0.127061222668766,0.104879732934628,0.037752669726692,0.00124555642744939,0.135201576097065,0.235831436683034,0.0961105623750654,0.0422692141541395,0.0397740502657172,0.162409171754317,0.129991253374486,0.0728496816777396,0.0719313828161643
"FOS (188g)",0.0274197799043476,0.137973732441212,0.112070168591588,0.0346730652566097,0.00114726841525248,0.127071532033981,0.262583436704453,0.103500115134625,0.0411105098135789,0.0378034770323762,0.150756198059675,0.111915444991684,0.0615885685928761,0.0675170051311123
"ATF3 (33g)",0.0270873773017887,0.126737324379207,0.110534637073524,0.0345665308412404,0.00101296509140247,0.118405573117204,0.221524783969165,0.094857314055472,0.0359890882669703,0.0388052328055216,0.176724630272511,0.132192753757948,0.0686339377962897,0.0731527035427998
"FOSL2 (11g)",0.0234099584146119,0.0977681048569377,0.107491789451232,0.0353106715999976,0.00117979123978784,0.123561001094573,0.192155819165347,0.0815375810652689,0.0292613177226774,0.0435493639507112,0.125156282366424,0.0890650032286288,0.0700255852456539,0.076940616830273
"E2F3 (127g)",0.0263586989339177,0.131472703978429,0.101655316455247,0.0393443393046022,0.00176697506279644,0.144399097491412,0.237414051789781,0.101736929639227,0.0405640746496252,0.0580082932621353,0.165536482954101,0.112118258605378,0.0621756876638498,0.0660811559242253
"TBX21 (486g)",0.0216260853221257,0.101745291696455,0.0889205420823249,0.040403197127529,0.00177590265742167,0.176766182779102,0.2024427374529,0.0889183728760762,0.0355607443050299,0.0617056884436264,0.187020617361642,0.133170448502018,0.0823015036069606,0.0803550366057643
"EOMES (23g)",0.0190113679834709,0.104548478029313,0.072402206581537,0.0422228023365856,0.00157788605163711,0.129858986980863,0.203216231919135,0.0780664894931365,0.035440325854846,0.0459939733986977,0.179238666683882,0.162169234721541,0.116084783659868,0.0699975568546609
"IRF8 (57g)",0.0251650846564881,0.102258164015234,0.0817350711207775,0.0354315397026068,0.00133183685773897,0.136386040798273,0.179656432284886,0.0735029096788495,0.0385484375448858,0.045640640419684,0.18849455683627,0.186486761661016,0.107741568758256,0.0728439609107432
"KLF10 (17g)",0.0179448186907301,0.0864758884158638,0.0685454076682941,0.029457534731169,0.00103750444925998,0.104841936009534,0.143833830633866,0.0601226996152245,0.0273400045107478,0.0349093801810711,0.154508046521613,0.117546217523455,0.0687511320623405,0.0663500492149816
